"workerId","MostAttach","Compliance","time"
"AJRY9ALX8069Y","Cat",1,"1"
"A27SMEOPKV84VI","Dog",0,"1"
"A51U5BEIC5XVR","Dog",1,"1"
"A2C73Y1COWCA51","Cat",1,"1"
"A110KENBXU7SUJ","Cat",0,"1"
"A3KP8KFGG6734Q","Dog",0,"1"
"A3UJSDFJ9LBQ6Z","Dog",0,"1"
"A36DK84J5YJ942","Dog",1,"1"
"A3ROADR7T6811","Cat",0,"1"
"A3PRZRK9IC5CBI","Cat",0,"1"
"AD14EQ9O9JKRI","Cat",0,"1"
"A25CZJEFKXF4UV","Dog",0,"1"
"A2TUUIV61CR0C7","Dog",0,"1"
"A26NGLGGFTATVN","Dog",1,"1"
"A320QA9HJFUOZO","Cat",0,"1"
"A1P6OXEJ86HQRM","Dog",0,"1"
"A1LRJ4U04532TM","Cat",0,"1"
"A3LT7W355XOAKF","Cat",0,"1"
"A2INXY39KBM92F","Dog",0,"1"
"A1F34ZP6YNI98F","Cat",1,"1"
"A3FYWUZK52IC2J","Dog",0,"1"
"A7T06JMP6BTDS","Dog",1,"1"
"A1E77HZO63E334","Cat",0,"1"
"A1RDRK3QTM7U96","Cat",1,"1"
"A2Y2YQU4CFG53R","Cat",1,"1"
"A1T643M1P572AA","Cat",0,"1"
"AJFJ6VXZJKSXD","Dog",0,"1"
"A394JO4NEPCY3M","Dog",0,"1"
"A1DZMZTXWOM9MR","Cat",0,"1"
"A2XQ3CFB5HT2ZQ","Dog",1,"1"
"A2DSSNN45FH4PG","Dog",1,"1"
"A2YFTTVAH9AFXU","Dog",0,"1"
"A2SM1GBN4ARGM4","Dog",1,"1"
"A2541C8MY0BYV3","Dog",1,"1"
"A2RHE12CJSKCRE","Cat",0,"1"
"A4IH4CO046EV3","Dog",0,"1"
"A12IHTKQFQIPD1","Dog",0,"1"
"A1PAMVTKGCXSWQ","Dog",0,"1"
"A2JP9IKRHNLRPI","Cat",0,"1"
"A1L2N1X8U8Z3W7","Dog",0,"1"
"A2E2UARVOVDR9Y","Cat",0,"1"
"A365LPN3R3J2HU","Cat",0,"1"
"A2RR04JS69Z5LE","Cat",0,"1"
"AF033TO8ZZ42K","Dog",1,"1"
"A16QTQ08VJZB7V","Cat",0,"1"
"ACJ6NSCIWMUZI","Dog",0,"1"
"A2P76QVLSGJR45","Dog",0,"1"
"A30EI064NHQEQO","Cat",0,"1"
"A2FARB7LA24AU8","Cat",0,"1"
"A3HC7AQFCYT5GJ","Dog",0,"1"
"A2C4R0TBPZGWTD","Cat",0,"1"
"A39PRBPSKA7A49","Dog",0,"1"
"AYY7JSAD0SGXL","Cat",0,"1"
"A82VN0BRUIMNO","Dog",0,"1"
"A1OKMU27HBN9T3","Cat",0,"1"
"A1ONTPD4RQHVYK","Dog",1,"1"
"A10ZWTCLFOJP16","Cat",0,"1"
"A2ERVMLDRFQH5X","Cat",0,"1"
"A3CI73EFDLS3OF","Dog",0,"1"
"A371H3PQPR2Z8J","Cat",0,"1"
"A2LZ0TBYJ91GYQ","Dog",0,"1"
"A1VC85P4XYKS4D","Dog",1,"1"
"A1HAEDUFPS233D","Cat",0,"1"
"ANFU1VR457XZ5","Cat",0,"1"
"A3IGWYBMJ5NBBJ","Cat",0,"1"
"A115BHSWY8R1KU","Dog",0,"1"
"AIL7AUHB1IVAW","Dog",1,"1"
"A1L69N4ECWU93U","Cat",0,"1"
"A33ZLN05SVEI66","Dog",0,"1"
"A2Q7BWWDXGQJQR","Dog",0,"1"
"A1JRO16F0QBADP","Dog",1,"1"
"A1KFUXSVGSHL5Z","Dog",0,"1"
"AJQGWGESKQT4Y","Dog",0,"1"
"A39N2R47D03TZD","Dog",1,"1"
"A2MEM0P4XT9PN7","Dog",0,"1"
"A14EYTLSMJRPUK","Dog",0,"1"
"A1P8TUHKN8M62X","Dog",1,"1"
"A1BPBUD67XIJXM","Cat",1,"1"
"A37AWU2VH1ZIXX","Dog",1,"1"
"A3UF6XXFFRR237","Dog",0,"1"
"A9LSEP71DNP4O","Dog",0,"1"
"A3819RK0CXM0T9","Dog",0,"1"
"A1X2J73SSA05TD","Cat",0,"1"
"A130P4M9JPT4YA","Dog",0,"1"
"A2EED3HLTA96CP","Cat",0,"1"
"A345VDWYMDWTGD","Cat",1,"1"
"A1ZQ7A1CUV6RD8","Cat",0,"1"
"A1J8TVICSRC70W","Dog",1,"1"
"A3KQEFX15OV461","Cat",0,"1"
"AC53GS6RNZLVE","Cat",0,"1"
"ASCRSCFCIHGWU","Dog",1,"1"
"AS4NIEQJWCG3M","Cat",0,"1"
"AU5RW3OQBKMU7","Dog",0,"1"
"A3UN1F1EOHKKE6","Cat",0,"1"
"A1F4TB5AD4LKLO","Dog",0,"1"
"A1AF25FCVKC87X","Cat",0,"1"
"A2A91NSJ5LMGOT","Dog",0,"1"
"A1R0689JPSQ3OF","Dog",0,"1"
"A3F51C49T9A34D","Dog",0,"1"
"A2VPCWI6X1QCDF","Dog",1,"1"
"AAYL7UAXO9E4T","Dog",0,"1"
"A2OBQ9KZ4GIHUG","Cat",0,"1"
"A111ERBYMJ3IAA","Cat",0,"1"
"A18DXQDAY3A7DB","Dog",0,"1"
"A1P47Q6LZPLQ6P","Dog",0,"1"
"AN2TLMRZF7DW8","Cat",0,"1"
"A1DS5O8MSI3ZH0","Cat",0,"1"
"A17OSPGV41FZ7P","Cat",0,"1"
"A3D2U4QF7821ZW","Cat",0,"1"
"A2VR26FH6ZRMWF","Cat",0,"1"
"A3DAJROQC1BLNI","Cat",0,"1"
"AMXYSR7Y0JNSR","Dog",1,"1"
"ASL9DJYE4F92C","Dog",0,"1"
"A3BGCHI2LSGHMQ","Cat",0,"1"
"A37X1GHLB2HCX7","Cat",1,"1"
"A2IQ0QCTQ3KWLT","Dog",0,"1"
