"statename","date","if_shelter","restaurant_closed_14","businesses_reopen_14","state"
"Alabama","2020-04-17","yes","yes","no",1
"Alabama","2020-05-04","yes","yes","yes",1
"Alabama","2020-05-06","yes","yes","yes",1
"Alabama","2020-04-20","yes","yes","no",1
"Alabama","2020-05-26","yes","no","yes",1
"Alabama","2020-06-16","yes","no","yes",1
"Alabama","2020-06-17","yes","no","yes",1
"Alabama","2020-05-27","yes","no","yes",1
"Alabama","2020-05-05","yes","yes","yes",1
"Alabama","2020-05-28","yes","no","yes",1
"Alaska","2020-05-04","yes","yes","yes",2
"Alaska","2020-05-06","yes","yes","yes",2
"Alaska","2020-05-27","yes","no","yes",2
"Alaska","2020-05-26","yes","no","yes",2
"Alaska","2020-05-28","yes","no","yes",2
"Alaska","2020-06-17","yes","no","yes",2
"Alaska","2020-04-17","yes","yes","no",2
"Alaska","2020-06-16","yes","no","yes",2
"Alaska","2020-04-20","yes","yes","no",2
"Alaska","2020-05-05","yes","yes","yes",2
"Arizona","2020-05-26","yes","no","yes",3
"Arizona","2020-05-27","yes","no","yes",3
"Arizona","2020-06-16","yes","no","yes",3
"Arizona","2020-05-04","yes","yes","no",3
"Arizona","2020-05-06","yes","yes","no",3
"Arizona","2020-05-05","yes","yes","no",3
"Arizona","2020-04-17","yes","yes","no",3
"Arizona","2020-05-28","yes","no","yes",3
"Arizona","2020-06-17","yes","no","yes",3
"Arizona","2020-04-20","yes","yes","no",3
"Arkansas","2020-05-06","no","yes","yes",4
"Arkansas","2020-05-27","no","no","yes",4
"Arkansas","2020-05-26","no","no","yes",4
"Arkansas","2020-06-17","no","no","yes",4
"Arkansas","2020-05-05","no","yes","yes",4
"Arkansas","2020-06-16","no","no","yes",4
"Arkansas","2020-05-04","no","yes","yes",4
"Arkansas","2020-04-20","no","yes","no",4
"Arkansas","2020-04-17","no","yes","no",4
"Arkansas","2020-05-28","no","no","yes",4
"California","2020-05-06","yes","yes","no",5
"California","2020-05-04","yes","yes","no",5
"California","2020-06-17","yes","yes","yes",5
"California","2020-05-27","yes","yes","yes",5
"California","2020-05-26","yes","yes","yes",5
"California","2020-05-28","yes","yes","yes",5
"California","2020-04-20","yes","yes","no",5
"California","2020-05-05","yes","yes","no",5
"California","2020-06-16","yes","yes","yes",5
"California","2020-04-17","yes","yes","no",5
"Colorado","2020-06-16","yes","no","yes",6
"Colorado","2020-05-04","yes","yes","yes",6
"Colorado","2020-05-06","yes","yes","yes",6
