"State","Start_Date_Shelter","End_Date_Shelter"
"Alabama",2020-04-04,2020-04-30
"Alaska",2020-03-28,2020-04-24
"Arizona",2020-03-31,2020-05-16
"Arkansas",NA,NA
"California",2020-03-19,NA
"Colorado",2020-03-26,2020-04-27
"Connecticut",NA,NA
"Delaware",2020-03-24,2020-06-01
"District of Columbia",2020-04-01,2020-05-29
"Florida",2020-04-03,2020-05-18
"Georgia",2020-04-03,2020-05-01
"Idaho",2020-03-25,2020-05-01
"Illinois",2020-03-21,2020-05-29
"Indiana",2020-03-25,2020-05-18
"Iowa",NA,NA
"Kansas",2020-03-30,2020-05-04
"Kentucky",NA,NA
"Louisiana",2020-03-23,2020-05-15
"Maine",2020-04-02,2020-05-31
"Maryland",2020-03-30,2020-05-15
"Massachusetts",2020-03-24,2020-05-18
"Michigan",2020-03-24,2020-06-01
"Minnesota",2020-03-28,2020-05-18
"Mississippi",2020-04-03,2020-04-27
"Missouri",2020-04-06,2020-05-04
"Nebraska",NA,NA
"Nevada",2020-03-31,2020-05-09
"New Hampshire",2020-03-28,2020-06-16
"New Jersey",2020-03-21,2020-06-09
"New Mexico",2020-03-24,NA
"New York",2020-03-22,2020-06-13
"North Carolina",2020-03-30,2020-05-22
"North Dakota",NA,NA
"Ohio",2020-03-24,2020-05-20
"Oklahoma",NA,NA
"Oregon",2020-03-23,2020-06-19
"Pennsylvania",2020-04-01,2020-06-05
"Rhode Island",2020-03-28,2020-05-09
"South Carolina",2020-04-07,2020-05-04
"Tennessee",2020-04-02,2020-04-29
"Texas",NA,NA
"Utah",NA,NA
"Vermont",2020-03-24,2020-05-15
"Virginia",2020-03-30,2020-06-05
"Washington",2020-03-23,2020-06-01
"West Virginia",2020-03-24,2020-05-04
"Wisconsin",2020-03-25,2020-05-13
