"state","date","highest_new_case_num","highest_new_case_rate"
"Alabama","2020-04-17",375,7.67205190153341e-05
"Alaska","2020-04-17",23,3.11890626737434e-05
"Arizona","2020-04-17",292,4.07158970200146e-05
"Arkansas","2020-04-17",130,4.31345549260491e-05
"California","2020-04-17",2197,5.55400434992048e-05
"Colorado","2020-04-17",547,9.60396547207616e-05
"Connecticut","2020-04-17",2003,0.000560645904387901
"Delaware","2020-04-17",247,0.000255384001381348
"District of Columbia","2020-04-17",229,0.000325999530219018
"Florida","2020-04-17",1416,6.64809800310573e-05
"Georgia","2020-04-17",1525,0.000144969211866562
"Hawaii","2020-04-17",63,4.43508617794833e-05
"Idaho","2020-04-17",131,7.46775752932377e-05
"Illinois","2020-04-17",1844,0.000144728704317059
"Indiana","2020-04-17",612,9.14541478490791e-05
"Iowa","2020-04-17",191,6.051686471946e-05
"Kansas","2020-04-17",158,5.42674664821115e-05
"Kentucky","2020-04-17",352,7.87753653319464e-05
"Louisiana","2020-04-17",2199,0.000471890639827055
"Maine","2020-04-17",65,4.85653061407467e-05
"Maryland","2020-04-17",1158,0.000191635618276411
"Massachusetts","2020-04-17",2804,0.00040625028523725
"Michigan","2020-04-17",1991,0.000199181365587843
"Minnesota","2020-04-17",261,4.65142887083089e-05
"Mississippi","2020-04-17",273,9.14104328434672e-05
"Missouri","2020-04-17",462,7.54106944769991e-05
"Montana","2020-04-17",22,2.07096831889147e-05
"Nebraska","2020-04-17",114,5.90897687620382e-05
"Nevada","2020-04-17",310,0.000102162146486018
"New Hampshire","2020-04-17",217,0.00015997546551386
"New Jersey","2020-04-17",4305,0.000483245252859061
"New Mexico","2020-04-17",216,0.000103081566152595
"New York","2020-04-17",11434,0.00058509250412786
"North Carolina","2020-04-17",406,3.91000441079315e-05
"North Dakota","2020-04-17",28,3.68383729543191e-05
"Ohio","2020-04-17",693,5.92842669479005e-05
"Oklahoma","2020-04-17",171,4.3367125030972e-05
"Oregon","2020-04-17",169,4.03272665057235e-05
"Pennsylvania","2020-04-17",1874,0.000146325542318065
"Puerto Rico","2020-04-17",136,NA
"Rhode Island","2020-04-17",648,0.000612873174030445
"South Carolina","2020-04-17",376,7.39556663317026e-05
"South Dakota","2020-04-17",180,0.00020402727164531
"Tennessee","2020-04-17",376,5.55390612421547e-05
"Texas","2020-04-17",1431,4.98574220577109e-05
"Utah","2020-04-17",247,7.8137233657218e-05
"Vermont","2020-04-17",72,0.000114961064922665
"Virginia","2020-04-17",602,7.06764807573889e-05
"Washington","2020-04-17",584,7.74988982284203e-05
"West Virginia","2020-04-17",71,3.93170571791839e-05
"Wisconsin","2020-04-17",290,4.9883307462818e-05
"Wyoming","2020-04-17",25,4.3272284793946e-05
"Alabama","2020-04-20",375,7.67205190153341e-05
"Alaska","2020-04-20",23,3.11890626737434e-05
"Arizona","2020-04-20",292,4.07158970200146e-05
"Arkansas","2020-04-20",192,6.37064195830879e-05
"California","2020-04-20",2255,5.70062804236262e-05
"Colorado","2020-04-20",547,9.60396547207616e-05
"Connecticut","2020-04-20",2003,0.000560645904387901
"Delaware","2020-04-20",247,0.000255384001381348
"District of Columbia","2020-04-20",229,0.000325999530219018
"Florida","2020-04-20",1416,6.64809800310573e-05
"Georgia","2020-04-20",1525,0.000144969211866562
"Hawaii","2020-04-20",34,2.39353857222608e-05
"Idaho","2020-04-20",122,6.95470548532443e-05
"Illinois","2020-04-20",1844,0.000144728704317059
"Indiana","2020-04-20",612,9.14541478490791e-05
"Iowa","2020-04-20",389,0.000123251625004555
"Kansas","2020-04-20",158,5.42674664821115e-05
"Kentucky","2020-04-20",352,7.87753653319464e-05
"Louisiana","2020-04-20",1857,0.000398499735406476
"Maine","2020-04-20",65,4.85653061407467e-05
"Maryland","2020-04-20",1158,0.000191635618276411
