"state","date","highest_new_case_num","highest_new_case_rate"
"Alabama","2020-04-17",340,6.95599372405696e-05
"Arizona","2020-04-17",292,4.07158970200146e-05
"Arkansas","2020-04-17",195,6.47018323890737e-05
"California","2020-04-17",1503,3.79957603000932e-05
"Colorado","2020-04-17",547,9.60396547207616e-05
"Connecticut","2020-04-17",1346,0.000376749569299109
"Delaware","2020-04-17",248,0.000256417944706779
"DistrictofColumbia","2020-04-17",229,0.000325999530219018
"Florida","2020-04-17",1413,6.63401304970932e-05
"Georgia","2020-04-17",1598,0.000151908721680502
"Idaho","2020-04-17",134,7.63877487732356e-05
"Illinois","2020-04-17",1841,0.000144493245470557
"Indiana","2020-04-17",616,9.20518873775045e-05
"Iowa","2020-04-17",191,6.051686471946e-05
"Kansas","2020-04-17",150,5.15197466602324e-05
"Kentucky","2020-04-17",232,5.1920127150601e-05
"Louisiana","2020-04-17",2201,0.000472319826402614
"Maine","2020-04-17",65,4.85653061407467e-05
"Maryland","2020-04-17",1158,0.000191635618276411
"Massachusetts","2020-04-17",2615,0.000378867509235167
"Michigan","2020-04-17",1878,0.000187876747651416
"Minnesota","2020-04-17",194,3.45738391165208e-05
"Mississippi","2020-04-17",273,9.14104328434672e-05
"Missouri","2020-04-17",355,5.7945447054837e-05
"Montana","2020-04-17",22,2.07096831889147e-05
"Nebraska","2020-04-17",122,6.32364192014795e-05
"Nevada","2020-04-17",217,7.15135025402123e-05
"NewHampshire","2020-04-17",81,5.97143442701506e-05
"NewJersey","2020-04-17",4305,0.000483245252859061
"NewMexico","2020-04-17",124,5.91764546431564e-05
"NewYork","2020-04-17",12274,0.000628076385837446
"NorthCarolina","2020-04-17",404,3.89074330532127e-05
"NorthDakota","2020-04-17",46,6.05201841392385e-05
"Ohio","2020-04-17",693,5.92842669479005e-05
"Oklahoma","2020-04-17",170,4.31135161126622e-05
"Oregon","2020-04-17",101,2.41009107519413e-05
"Pennsylvania","2020-04-17",1965,0.000153430998215047
"RhodeIsland","2020-04-17",339,0.000320623466043705
"SouthCarolina","2020-04-17",275,5.40899155351548e-05
"SouthDakota","2020-04-17",181,0.000205160756487784
"Tennessee","2020-04-17",346,5.11077531643232e-05
"Texas","2020-04-17",1475,5.13904245528467e-05
"Utah","2020-04-17",192,6.07382545027767e-05
"Vermont","2020-04-17",72,0.000114961064922665
"Virginia","2020-04-17",601,7.05590779654331e-05
"Washington","2020-04-17",532,7.05983113998623e-05
"WestVirginia","2020-04-17",70,3.8763295810463e-05
"Wisconsin","2020-04-17",196,3.37142353886632e-05
"Wyoming","2020-04-17",73,0.000126355071598322
"Alabama","2020-04-20",340,6.95599372405696e-05
"Arizona","2020-04-20",292,4.07158970200146e-05
"Arkansas","2020-04-20",195,6.47018323890737e-05
