"","State","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20"
"1","Alabama",1.49349277016517e-05,3.53937327724075e-05,5.36020692853801e-05,2.43459780341993e-05,3.08927956568412e-05,3.82579654823133e-05,4.439560700354e-05,3.25295000625016e-05,7.67205190153341e-05,4.9919484372644e-05,5.52387736910405e-05,7.07874655448149e-05,3.49845566709923e-05,4.48047831049551e-05,2.4959742186322e-05,5.52387736910405e-05,4.6236899459908e-05,2.88469151497656e-05,3.60074969245301e-05,3.90763176851435e-05,4.86919560683987e-05,5.64663019952859e-05,4.88965441191063e-05,3.96900818372662e-05,0,8.08122800294852e-05,2.41413899834918e-05,4.31680786992946e-05,3.31432642146243e-05,3.60074969245301e-05,4.21451384457569e-05,6.48544120742957e-05,5.66708900459934e-05,4.58277233584929e-05,6.64911164799562e-05,5.19653648797196e-05,7.26287580011829e-05,6.9355349189862e-05,5.78984183502388e-05,4.52139592063702e-05,5.62617139445783e-05,6.13764152122673e-05,4.82827799669836e-05,8.20398083337306e-05,5.56479497924557e-05,6.15810032629748e-05,1.98450409186331e-05,6.44452359728806e-05,5.93305347051917e-05,0.000138301522278309,4.82827799669836e-05,7.8152635370287e-05,9.14508586662782e-05,7.38562863054283e-05,0.000103930729759439,0.000135846465669818,7.8152635370287e-05,0.000101884849252364,0.000102498613404486,6.71048806320789e-05,0.000121320714069582,0.000138710698379724,2.78239748962278e-05,1.73899843101424e-05,4.52139592063702e-05,6.44452359728806e-05,0.000134209761264158,9.34967391733538e-05,8.6949921550712e-05,0.000101680261201656,0.000116001424751185,0.000175127371405669,0.000176968663862037,0.000182287953180434,0.000207452283417463,0.000134414349314865,0.000130936352452837,8.1835220283023e-05,0.000182901717332556,0.000162852088363216,0.000111909663737034
"2","Alaska",1.76286006416811e-05,1.49165082352686e-05,1.89846468448873e-05,1.89846468448873e-05,1.89846468448873e-05,6.78023101603118e-06,3.11890626737434e-05,1.76286006416811e-05,1.22044158288561e-05,1.49165082352686e-05,1.49165082352686e-05,2.03406930480935e-05,6.78023101603118e-06,1.08483696256499e-05,1.08483696256499e-05,9.49232342244365e-06,1.22044158288561e-05,6.78023101603118e-06,6.78023101603118e-06,2.71209240641247e-06,1.08483696256499e-05,8.13627721923741e-06,2.71209240641247e-06,2.71209240641247e-06,0,1.35604620320624e-06,6.78023101603118e-06,8.13627721923741e-06,5.42418481282494e-06,0,1.22044158288561e-05,1.35604620320624e-06,4.06813860961871e-06,2.71209240641247e-06,1.35604620320624e-06,1.35604620320624e-06,2.71209240641247e-06,4.06813860961871e-06,1.35604620320624e-06,1.35604620320624e-06,0,5.42418481282494e-06,0,0,6.78023101603118e-06,0,0,0,1.62725544384748e-05,1.35604620320624e-06,0,2.71209240641247e-06,5.42418481282494e-06,0,1.35604620320624e-06,2.71209240641247e-06,1.35604620320624e-06,1.76286006416811e-05,6.78023101603118e-06,5.42418481282494e-06,3.52572012833621e-05,9.49232342244365e-06,2.71209240641247e-05,2.44088316577122e-05,1.08483696256499e-05,1.49165082352686e-05,1.62725544384748e-05,1.08483696256499e-05,2.57648778609185e-05,1.35604620320624e-05,2.71209240641247e-05,2.3052785454506e-05,2.03406930480935e-05,3.93253398929808e-05,9.49232342244365e-06,4.06813860961871e-06,1.62725544384748e-05,2.71209240641247e-05,1.62725544384748e-05,1.76286006416811e-05,2.84769702673309e-05
"3","Arizona",1.72903124331569e-05,2.55171546392558e-05,2.41227746043237e-05,3.48595008733002e-05,3.48595008733002e-05,2.66326586672014e-05,1.60353704017181e-05,2.10551385274733e-05,4.07158970200146e-05,1.31071723283609e-05,3.91820789815894e-05,2.07762625204869e-05,2.27283945693917e-05,1.45015523632929e-05,2.16128905414461e-05,3.80665749536438e-05,3.8206012957137e-05,2.97002947440518e-05,2.9142542730079e-05,1.88241304715821e-05,2.62143446567218e-05,3.02580467580246e-05,4.16919630444671e-05,3.80665749536438e-05,3.36045588418614e-05,3.45806248663138e-05,2.66326586672014e-05,3.20707408034362e-05,3.5417252887273e-05,6.21893495579676e-05,4.37835330968651e-05,5.50780113798143e-05,3.84848889641234e-05,3.9600392992069e-05,5.31258793309095e-05,5.60540774042667e-05,3.31862448313818e-05,8.10134800295497e-05,6.05160935160492e-05,2.21706425554189e-05,3.6811632922205e-05,4.92216152330999e-05,6.69302416767364e-05,6.3862605599886e-05,6.90218117291344e-05,6.93006877361208e-05,3.8903202974603e-05,3.66721949187118e-05,5.13131852854979e-05,4.60145411527563e-05,6.16315975439948e-05,3.84848889641234e-05,5.98189034985832e-05,4.51779131317971e-05,2.76087246916538e-05,4.0297583009535e-05,6.33048535859132e-05,7.79458439526993e-05,8.29656120784545e-05,0.000109598270745656,9.45389663683902e-05,2.69115346741878e-05,0.000158262133964783,0.000152266299814575,7.39021418513965e-05,0.000216547219424941,0.000141111259535119,0.000214455649372543,9.60727844068154e-05,8.61726861587981e-05,0.000216965533435421,0.000197304774942879,0.000247084142189952,0.000226029003662479,0.000145852151653888,0.000158680447975263,0.000326424366177583,0.000244295382120088,0.000349710512760948,0.000483152682103941,0.000448572057237627
"4","Arkansas",2.02400603883769e-05,1.95764518510531e-05,2.02400603883769e-05,1.29403664778147e-05,3.11896012542201e-05,1.26085622091528e-05,2.35581030749961e-05,1.79174305077435e-05,3.9484707970768e-05,1.72538219704196e-05,1.89128433137292e-05,1.72538219704196e-05,4.31345549260491e-05,2.91987756422486e-05,2.35581030749961e-05,1.69220177017577e-05,2.48853201496437e-05,1.62584091644339e-05,1.22767579404909e-05,6.37064195830879e-05,5.64067256725258e-06,9.48960208373081e-05,0.000107172778777799,7.00107006876643e-05,3.35122311348536e-05,2.98623841795725e-05,2.25626902690103e-05,1.92446475823911e-05,2.18990817316865e-05,2.91987756422486e-05,1.85810390450673e-05,1.16131494031671e-05,2.15672774630246e-05,1.79174305077435e-05,1.12813451345052e-05,2.85351671049248e-05,3.05259927168963e-05,1.45993878211243e-05,0,8.79281311954078e-05,1.02859323285194e-05,4.01483165080919e-05,2.3889907343658e-05,4.31345549260491e-05,3.21850140602059e-05,3.81574908961204e-05,6.00565726278069e-05,1.79174305077435e-05,3.64984695528108e-05,2.65443414929533e-05,0.000150970942241172,5.10978573739351e-05,5.40840957918924e-05,4.87752274933017e-05,3.5503056746825e-05,5.01024445679494e-05,3.21850140602059e-05,8.66009141207602e-05,7.9301220210198e-05,7.83058074042123e-05,7.96330244788599e-05,6.30428110457641e-05,0.000124426600748219,8.26192628968172e-05,0.000118785928180966,7.49877647175931e-05,0.000149311920897862,0.000107836387315123,0.000104186540359842,0.000112813451345052,9.55596293746319e-05,0.000148648312360539,0.000242548920391861,0.00018182873922673,0.000134712533076738,0.000138030575763357,9.09143696133651e-05,0.000137698771494695,0.000106840974509137,0.000233258400869327,0.000169551981286239
"5","California",2.97544975869659e-05,3.48863268224409e-05,3.09932149886322e-05,2.0754836464655e-05,5.55400434992048e-05,2.50271475030554e-05,3.35464896328833e-05,3.90827980199229e-05,2.05525968888728e-05,3.46588072996858e-05,1.60780462746901e-05,2.73781825715242e-05,2.86674598671362e-05,3.67823228453996e-05,3.27880912236999e-05,2.50524274500282e-05,3.74143215197192e-05,3.42290482011485e-05,2.32575512149606e-05,5.70062804236262e-05,4.53522248691731e-05,4.73240607330502e-05,5.58434028628782e-05,4.53522248691731e-05,2.56085862834294e-05,3.01084168445848e-05,3.57205650725427e-05,3.01336967915576e-05,6.52981030306991e-05,3.49621666633592e-05,4.7930779460397e-05,3.33948099510466e-05,3.93355974896507e-05,2.47996279803003e-05,6.50200236139985e-05,5.46046854612118e-05,3.87288787623039e-05,4.17624723990379e-05,7.00760130085551e-05,2.59877854880212e-05,4.37090283159422e-05,4.17371924520651e-05,4.59589435965199e-05,5.24053300745796e-05,4.6060063384411e-05,5.13688522486955e-05,3.64284035877806e-05,3.41784883072029e-05,5.67787609008711e-05,5.69810004766534e-05,5.15205319305322e-05,5.62478820144427e-05,5.77141189388641e-05,3.80463201940388e-05,6.06971526816525e-05,7.63959997517509e-05,3.99170362700247e-05,6.93176145993716e-05,7.14158501981126e-05,8.2336787290355e-05,5.19755709760423e-05,7.03288124782829e-05,6.2744828386448e-05,5.4579405514239e-05,7.12894504632487e-05,9.0729729685319e-05,7.13652903041671e-05,5.18491712411784e-05,7.98593524870222e-05,7.2427048077024e-05,7.66993591154243e-05,9.41425225266447e-05,8.1401429252362e-05,8.53198210331434e-05,5.85230772419932e-05,8.5370380927089e-05,8.17806284569537e-05,9.69991565345693e-05,0.000109588570127015,9.42689222615087e-05,0.000110751447687763
"6","Colorado",6.60162891682018e-05,6.77720415396965e-05,7.81309805315154e-05,6.88254929625933e-05,6.7596466302547e-05,4.09090302558272e-05,4.31915083387703e-05,3.96800035957809e-05,9.60396547207616e-05,5.4603898753486e-05,6.67185901167997e-05,7.26881481798817e-05,6.82987672511449e-05,4.45961102359661e-05,5.7939828259326e-05,6.93522186740418e-05,6.53139882196039e-05,6.90010681997428e-05,5.09168187733471e-05,6.70697405910986e-05,6.33826606109597e-05,7.33904491284796e-05,6.7947616776846e-05,0.000171712581932184,0.000125009568850425,8.30470871717006e-05,7.69019538714691e-05,7.67263786343196e-05,7.7604254820067e-05,9.23525747406227e-05,8.93677957090817e-05,7.58485024485723e-05,7.19858472312839e-05,4.96877921133008e-05,7.88332814801133e-05,8.16424852745049e-05,9.44594775864164e-05,8.02378833773091e-05,9.62152299579111e-05,5.75886777850271e-05,3.09012417383072e-05,4.88099159275534e-05,5.58329254135324e-05,6.37338110852586e-05,6.91766434368923e-05,7.04056700969386e-05,5.35504473305892e-05,4.63518626074608e-05,4.91610664018524e-05,5.53061997020839e-05,6.91766434368923e-05,5.1970270196244e-05,8.37493881202985e-05,3.68707998013893e-05,1.43971694462568e-05,5.1970270196244e-05,3.54661979041935e-05,6.19780587137639e-05,8.62074414403912e-05,8.53295652546438e-05,4.91610664018524e-05,3.49394721927451e-05,3.70463750385388e-05,4.77564645046566e-05,5.26725711448418e-05,4.47716854731156e-05,4.09090302558272e-05,2.68630112838693e-05,3.19546931612041e-05,2.87943388925135e-05,2.65118608095704e-05,2.5985135098122e-05,3.07256665011577e-05,3.42371712441472e-05,1.98400017978904e-05,2.96722150782609e-05,2.51072589123746e-05,4.02067293072293e-05,4.03823045443787e-05,5.02145178247492e-05,2.82676131810651e-05
"7","Connecticut",0.000120078428847933,7.4734127045217e-05,0.000305094376326916,0.000101324921312242,0.000111681335921504,0.000344560713081131,0.000244915210354175,0,0.000560645904387901,0.000211046935550912,0.000272065810816295,0.000146949126212505,0.000376749569299109,0.000170181083308958,0.000214405772721484,0.000316010597131273,0.000258910365231557,0.000207408195282793,0.000115320076189623,0.000518660439755757,0.000152547188163458,0.00059031563272795,0.000176618854552554,0.000233998989549818,0.000181097304113316,0.000192013524917674,0.000203769455014674,8.81694757275031e-05,0.000127355909384171,0.000261149590011938,0.000297816895790677,0.00014638932001741,0,0.000192013524917674,0.000181377207210864,0.000104683758482813,0.000220843543965079,0.000175499242162363,0.000160384474894791,0.000159544765602149,5.90595535825497e-05,0.000158984959407053,0.000146109416919862,0.000170460986406506,0.000173819823577078,0.000172980114284435,0.000200410617844102,0.000195092458990697,8.78895726299555e-05,0.000164303118260458,5.34614916315971e-05,0.000120918138140576,0.000106922983263194,0.000124836781506243,0.00011336075450679,0.00012035833194548,-4.19854646321444e-06,7.58537394354075e-05,5.68203288021687e-05,7.27748053623835e-05,5.01026544610256e-05,0.000150867769578172,6.68968403138833e-05,3.13491469253344e-05,4.14256584370491e-05,6.1858584558026e-05,0.000100205308922051,4.19854646321443e-05,3.4707984095906e-05,2.43515694866437e-05,4.70237203880017e-05,3.19089531204297e-05,6.38179062408594e-05,8.53704447520269e-05,2.63108911694771e-05,4.11457553395015e-05,3.19089531204297e-05,2.23922478038103e-05,3.07893407302392e-06,3.27486624130726e-05,4.42246894125254e-05
"8","Delaware",5.06632229460974e-05,2.5848583135764e-05,5.89347695495419e-05,0.00014785389553657,8.27154660344448e-05,0.000113733765797362,0.000149921782187431,0.000194381345180945,9.61567292650421e-05,0.000120971369075376,0.000158193328790876,0.000150955725512862,0.000137514462282264,0.000173702478672334,9.09870126378893e-05,5.79008262241113e-05,0.000255384001381348,0.000228501474920154,0,0.000214026268364126,0.000192313458530084,0.000278130754540821,0.0001116658791465,0.000138548405607695,0.000138548405607695,0.000473546043047196,0.000132344745655112,0.000427018593402821,8.27154660344448e-05,8.16815227090142e-05,0.000190245571879223,0.000124073199051667,0.000175770365323195,8.27154660344448e-05,8.58172960107365e-05,0.000420814933450238,0.00016646487539432,0.000177838251974056,0.000171634592021473,0,0.000297775677724001,0.000181974025275779,0.000218162041665848,0.000280198641191682,0.000155091498814584,0.000179906138624917,0.000127175029027959,0.000205754721760681,0.000173702478672334,0.000162329102092598,0.000198517118482667,0.00014785389553657,0,0.000289504131120557,0.000161295158767167,0.000104428275868487,3.10182997629168e-05,7.7545749407292e-05,6.72063161529864e-05,0.000192313458530084,7.85796927327226e-05,0.00011063193582107,8.27154660344448e-05,2.79164697866251e-05,3.5154073064639e-05,2.79164697866251e-05,7.44439194310003e-05,0.000100292502566764,3.10182997629168e-05,4.96292796206669e-05,3.72219597155002e-05,5.1697166271528e-05,6.92742028038475e-05,5.79008262241113e-05,3.61880163900696e-05,7.85796927327226e-05,6.51384295021253e-05,4.2391676342653e-05,5.68668828986808e-05,0.000115801652448223,7.23760327801392e-05
"9","Florida",1.00942166007608e-05,9.63410812314475e-05,5.91568042649239e-05,5.95793528668162e-05,3.81702237042723e-05,4.57291486936793e-05,5.73257603233905e-05,4.27713084804331e-05,4.2630458946469e-05,5.47904687120366e-05,4.52127004024775e-05,6.57767323612368e-05,5.27716253918845e-05,2.85924553947132e-05,4.14567128301014e-05,3.90622707527116e-05,6.64809800310573e-05,3.44142361318962e-05,3.85927723061646e-05,3.49776342677526e-05,3.80293741703082e-05,2.06579316480687e-05,6.28658419926453e-05,4.15506125194108e-05,1.43666524643387e-05,3.25362423457081e-05,2.84516058607491e-05,3.33343897048381e-05,1.6197696405872e-05,2.33340727933866e-05,4.87339387515802e-05,3.45081358212056e-05,2.88741544626414e-05,3.84519227722005e-05,2.54468158028482e-05,2.64327625405969e-05,3.87805716847834e-05,1.74183923668943e-05,3.76537754130706e-05,2.79351575695474e-05,1.81226400367148e-05,4.41798038200741e-05,2.2488975589602e-05,3.79354744809988e-05,4.3569455839563e-05,3.15972454526141e-05,3.64800292967031e-05,4.00951673351151e-05,2.35688220166602e-05,2.47425681330277e-05,5.65276129642606e-05,3.64330794520484e-05,3.17380949865782e-05,3.47428850444791e-05,4.12689134514826e-05,2.38974709292431e-05,1.77939911241319e-05,3.05643488702107e-05,5.69032117214982e-05,4.35225059949083e-05,3.46959351998244e-05,3.13155463846859e-05,2.89680541519508e-05,6.18329454102419e-05,6.66218295650214e-05,6.12695472743854e-05,5.96263027114709e-05,5.54008166925478e-05,4.53535499364416e-05,5.14570297415528e-05,6.43682370215958e-05,7.97208362236831e-05,8.92986045332423e-05,0.000121177549053785,9.46508868238782e-05,8.25378269029652e-05,0.000130661417674034,0.000122539094548771,0.000150568151807628,0.000179442306270269,0.000190099921006886
"10","Georgia",6.73988007956671e-05,6.74938625739402e-05,4.5914838905934e-05,3.12753250518681e-05,4.62950860190266e-05,6.34062061081946e-05,0.000143353161635918,0.000102571658756735,6.32160825516483e-05,8.73617742330297e-05,6.40716385561066e-05,2.78531010340345e-05,8.2038314649733e-05,0.000120063025958995,3.88802673137205e-05,6.48321327822919e-05,0.000144969211866562,4.51543446797488e-05,6.00790438686341e-05,0.00010513832677011,4.50592829014756e-05,0.000126717350438116,6.35963296647409e-05,5.77975611900784e-05,6.94901599176765e-05,2.5096309464113e-05,7.75704110708947e-05,5.89383025293563e-05,8.10876968670014e-05,4.64852095755729e-05,0.000116450678384615,8.00420173059967e-05,3.17506339432339e-05,7.47185577227e-05,5.19987927154159e-05,7.08210248135007e-05,8.31790559890109e-05,5.35197811677864e-05,3.86901437571742e-05,9.430128404697e-05,4.01160704312715e-05,8.76469595678492e-05,4.78160744713971e-05,5.22839780502354e-05,7.55741137271584e-05,4.18271824401883e-05,3.4887672626248e-05,6.69234919043013e-05,5.43753371722448e-05,8.99284422464049e-05,8.19432528714598e-05,7.78555964057142e-05,7.2246951487598e-05,6.27407736602825e-05,4.73407655800313e-05,5.54210167332495e-05,6.22654647689167e-05,5.96987967555415e-05,5.84629936379905e-05,4.27778002229199e-05,6.95852216959496e-05,7.97568319711773e-05,2.89938423733124e-05,6.53074416736577e-05,9.17346160335948e-05,7.24370750441443e-05,7.01555923655886e-05,5.12382984892307e-05,5.694200518562e-05,7.14864572614128e-05,6.94901599176765e-05,9.43963458252432e-05,7.70000404012558e-05,9.70580756168915e-05,8.33691795455572e-05,6.96802834742228e-05,6.31210207733751e-05,9.04988129160438e-05,8.38444884369229e-05,0.000104282770765651,0.000171111200891679
