"","State","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20"
"1","Alabama",2.23000975271238e-05,3.31432642146243e-05,5.42158334375027e-05,1.98450409186331e-05,4.2554314547172e-05,3.3757028366747e-05,3.9280905735851e-05,6.15810032629748e-05,6.95599372405696e-05,3.47799686202848e-05,5.19653648797196e-05,6.5672764277126e-05,4.54185472570778e-05,3.02790315047185e-05,5.89213586037766e-05,3.33478522653319e-05,3.43707925188697e-05,3.08927956568412e-05,3.68258491273604e-05,3.58029088738226e-05,5.09424246261818e-05,5.78984183502388e-05,4.54185472570778e-05,3.96900818372662e-05,3.82579654823133e-05,4.2554314547172e-05,2.41413899834918e-05,4.31680786992946e-05,3.58029088738226e-05,2.92560912511807e-05,4.6236899459908e-05,6.48544120742957e-05,5.66708900459934e-05,4.58277233584929e-05,6.64911164799562e-05,5.19653648797196e-05,7.26287580011829e-05,6.9355349189862e-05,5.78984183502388e-05,4.52139592063702e-05,5.62617139445783e-05,6.13764152122673e-05,4.82827799669836e-05,8.20398083337306e-05,5.56479497924557e-05,6.15810032629748e-05,1.98450409186331e-05,6.44452359728806e-05,5.93305347051917e-05,0.000138301522278309,7.40608743561358e-05,5.23745409811347e-05,9.79976762889201e-05,6.73094686827864e-05,0.000103930729759439,0.000135846465669818,7.8152635370287e-05,0.000101884849252364,0.000102498613404486,6.71048806320789e-05,0.000121320714069582,0.000119070245511798,4.84873680176911e-05,1.63670440566046e-05,4.52139592063702e-05,6.44452359728806e-05,0.000134209761264158,9.34967391733538e-05,8.6949921550712e-05,0.000101680261201656,0.000116001424751185,0.000175127371405669,0.000176968663862037,0.000182287953180434,0.000207452283417463,0.000134414349314865,0.000130936352452837,8.1835220283023e-05,0.000182901717332556,0.000162852088363216,0.000111909663737034
"2","Arizona",1.60353704017181e-05,2.60749066532286e-05,2.35650225903509e-05,3.48595008733002e-05,3.48595008733002e-05,2.74692866881606e-05,1.54776183877453e-05,2.07762625204869e-05,4.07158970200146e-05,1.31071723283609e-05,3.91820789815894e-05,2.03579485100073e-05,2.27283945693917e-05,1.45015523632929e-05,2.17523285449393e-05,3.79271369501506e-05,3.80665749536438e-05,2.95608567405586e-05,2.92819807335722e-05,1.88241304715821e-05,2.60749066532286e-05,2.90031047265858e-05,4.32257810828923e-05,3.84848889641234e-05,3.27679308209022e-05,3.43017488593274e-05,2.64932206637082e-05,3.23496168104226e-05,3.5417252887273e-05,6.21893495579676e-05,4.37835330968651e-05,5.60540774042667e-05,3.84848889641234e-05,3.8903202974603e-05,5.38230693483755e-05,5.60540774042667e-05,3.31862448313818e-05,8.10134800295497e-05,6.05160935160492e-05,2.21706425554189e-05,3.63933189117254e-05,4.96399292435795e-05,6.13527215370084e-05,6.9440125739614e-05,6.90218117291344e-05,6.44203576138588e-05,4.26680290689195e-05,3.24890548139158e-05,5.52174493833075e-05,4.61539791562495e-05,5.8285085460158e-05,4.08553350235079e-05,6.02372175090628e-05,4.16919630444671e-05,3.09552367754906e-05,3.09552367754906e-05,6.67908036732432e-05,6.98584397500936e-05,9.7885478452227e-05,0.000110156022759629,9.49572803788698e-05,2.60749066532286e-05,0.000157146629936837,0.000138740813475735,7.98979760016041e-05,0.000216268343417955,0.000160074828010195,0.000196189270914934,0.000116709608923809,8.85431322181826e-05,0.000221009235536723,0.000215292277393502,0.000228957201735836,0.000223937433610081,0.000164536844121977,0.000146688779674847,0.00031973134200991,0.000259494124500847,0.000358634544984513,0.000443831165118858,0.000457914403471672
"3","Arkansas",1.9908256119715e-05,1.95764518510531e-05,1.82492347764054e-05,1.65902134330958e-06,3.64984695528108e-05,2.45535158809818e-05,2.32262988063341e-05,2.65443414929533e-05,2.28944945376722e-05,1.85810390450673e-05,8.62691098520982e-06,1.72538219704196e-05,6.47018323890737e-05,7.63149817922407e-06,3.35122311348536e-05,6.96788964190024e-06,2.48853201496437e-05,2.72079500302771e-05,1.32721707464767e-06,6.30428110457641e-05,9.65550421806177e-05,4.31345549260491e-05,6.86834836130167e-05,7.00107006876643e-05,3.28486225975297e-05,3.05259927168963e-05,2.25626902690103e-05,1.92446475823911e-05,2.65443414929533e-05,2.45535158809818e-05,9.62232379119557e-06,2.05718646570388e-05,1.95764518510531e-05,1.26085622091528e-05,1.85810390450673e-05,2.85351671049248e-05,2.75397542989391e-05,1.75856262390816e-05,0,8.79281311954078e-05,1.02859323285194e-05,4.01483165080919e-05,2.3889907343658e-05,4.31345549260491e-05,3.21850140602059e-05,3.81574908961204e-05,6.00565726278069e-05,1.79174305077435e-05,3.64984695528108e-05,2.65443414929533e-05,0.000150970942241172,5.10978573739351e-05,5.40840957918924e-05,4.87752274933017e-05,3.5503056746825e-05,5.01024445679494e-05,3.21850140602059e-05,8.66009141207602e-05,7.9301220210198e-05,7.83058074042123e-05,7.96330244788599e-05,6.30428110457641e-05,0.000124426600748219,8.26192628968172e-05,0.000118785928180966,7.49877647175931e-05,0.000149311920897862,0.000107836387315123,0.000104186540359842,0.000112813451345052,9.55596293746319e-05,0.000148648312360539,0.000242548920391861,0.00018182873922673,0.000134712533076738,0.000138030575763357,9.09143696133651e-05,0.000137698771494695,0.000106840974509137,0.000233258400869327,0.000169551981286239
"4","California",3.22066524433258e-05,3.369816931472e-05,3.48610468754681e-05,3.1018494935605e-05,3.55436054437332e-05,2.92994585414558e-05,2.98050574809114e-05,3.79957603000932e-05,2.90213791247551e-05,2.97039376930203e-05,2.66703440562863e-05,2.28025121694505e-05,2.55580263894838e-05,3.59986444892433e-05,3.41026484662846e-05,2.61647451168306e-05,3.17516133978157e-05,3.61756041180528e-05,1.807516208554e-05,5.85989170829115e-05,5.01048549000564e-05,4.37090283159422e-05,4.95739760136279e-05,4.63634227480844e-05,3.08920952007411e-05,2.78332216170343e-05,3.83496795577122e-05,3.44312877769308e-05,5.90033962344761e-05,3.95883969593785e-05,4.67173420057034e-05,3.62767239059439e-05,3.33442500571011e-05,3.18780131326797e-05,6.35790666365498e-05,4.90178171802267e-05,4.28242301718948e-05,5.39726867868922e-05,5.58181229159054e-05,3.1018494935605e-05,3.69845624211819e-05,4.13579932474734e-05,5.22789303397157e-05,4.37090283159422e-05,5.22789303397157e-05,4.84869382937982e-05,3.62261640119984e-05,3.98664763760792e-05,5.15205319305322e-05,5.42002063096472e-05,5.97365146966868e-05,5.84725173480476e-05,5.09138132031854e-05,4.87397377635261e-05,5.74865994161091e-05,7.35140857968536e-05,4.92706166499545e-05,5.55400434992048e-05,7.51320024031118e-05,7.72807978957983e-05,7.61937601759687e-05,6.39329858941688e-05,6.16325107196455e-05,5.88011566586938e-05,6.34526669016859e-05,9.08308494732101e-05,6.66632201672294e-05,7.20478488724322e-05,5.78910785676736e-05,7.47780831454928e-05,7.31601665392347e-05,9.02494106928361e-05,9.04010903746728e-05,7.96065530172944e-05,6.3680186424441e-05,6.84833763492698e-05,8.7696136048585e-05,0.000107439774634329,9.49009209358283e-05,9.37380433750802e-05,0.000101397867307834
"5","Colorado",6.25047844252123e-05,6.70697405910986e-05,7.97111576658607e-05,6.88254929625933e-05,6.60162891682018e-05,3.8977702647183e-05,4.51228359474145e-05,3.96800035957809e-05,9.60396547207616e-05,5.40771730420376e-05,6.72453158282481e-05,7.19858472312839e-05,6.81231920139955e-05,4.38938092873682e-05,5.95200053936713e-05,6.93522186740418e-05,6.53139882196039e-05,6.77720415396965e-05,5.21458454333934e-05,6.60162891682018e-05,5.98711558679702e-05,7.56729272114228e-05,6.74208910653976e-05,0.000174346210489427,0.000125009568850425,8.30470871717006e-05,6.39093863224081e-05,7.63752281600207e-05,7.74286795829175e-05,9.25281499777722e-05,7.97111576658607e-05,8.02378833773091e-05,7.18102719941344e-05,4.77564645046566e-05,8.02378833773091e-05,8.14669100373554e-05,9.55129290093132e-05,7.98867329030101e-05,9.62152299579111e-05,5.75886777850271e-05,3.47638969555956e-05,5.44283235163366e-05,5.95200053936713e-05,6.51384129824544e-05,6.91766434368923e-05,6.97033691483407e-05,5.35504473305892e-05,4.65274378446103e-05,4.91610664018524e-05,5.53061997020839e-05,6.88254929625933e-05,5.17946949590945e-05,8.35738128831491e-05,3.65196493270903e-05,2.03667275093388e-05,5.21458454333934e-05,3.8977702647183e-05,5.98711558679702e-05,8.53295652546438e-05,8.46272643060459e-05,4.91610664018524e-05,3.49394721927451e-05,3.70463750385388e-05,4.77564645046566e-05,5.26725711448418e-05,4.47716854731156e-05,4.09090302558272e-05,2.68630112838693e-05,3.19546931612041e-05,2.87943388925135e-05,2.65118608095704e-05,2.5985135098122e-05,3.07256665011577e-05,3.42371712441472e-05,1.98400017978904e-05,2.96722150782609e-05,2.51072589123746e-05,4.05578797815282e-05,4.00311540700798e-05,5.02145178247492e-05,2.84431884182146e-05
"6","Connecticut",0.000120078428847933,7.4734127045217e-05,0.000305374279424463,0.000101045018214694,0.000111681335921504,0.000344560713081131,0.000244915210354175,0.000279903097547629,0.000280742806840272,0.000211046935550912,0.000272065810816295,0.000146949126212505,0.000376749569299109,0.000170181083308958,0.000214405772721484,0.000316010597131273,0.000258910365231557,0.000207408195282793,0.000115320076189623,0.000518660439755757,0.000152547188163458,0.00059031563272795,0.000176618854552554,0.000229800443086603,0.000185015947478983,0.000192293428015221,0.000203769455014674,8.81694757275031e-05,0.000127355909384171,0.000261149590011938,0.000297816895790677,0.00014638932001741,0,0.000192013524917674,0.000181377207210864,0.000104683758482813,0.000220843543965079,0.000175499242162363,0.000160384474894791,0.000159544765602149,5.90595535825497e-05,0.000158984959407053,0.000146109416919862,0.000170460986406506,0.000173819823577078,0.000172980114284435,0.000200410617844102,0.000195092458990697,8.78895726299555e-05,0.000164303118260458,5.34614916315971e-05,0.000120918138140576,0.000106922983263194,0.000124836781506243,0.00011336075450679,0.000116159785482266,0,7.58537394354075e-05,5.68203288021687e-05,7.27748053623835e-05,5.01026544610256e-05,0.000150867769578172,6.68968403138833e-05,3.13491469253344e-05,4.14256584370491e-05,6.1858584558026e-05,0.000100205308922051,4.19854646321443e-05,3.4707984095906e-05,2.43515694866437e-05,4.70237203880017e-05,3.19089531204297e-05,6.38179062408594e-05,8.53704447520269e-05,2.63108911694771e-05,4.11457553395015e-05,3.19089531204297e-05,2.23922478038103e-05,3.07893407302392e-06,3.27486624130726e-05,4.42246894125254e-05
"7","Delaware",5.06632229460974e-05,2.5848583135764e-05,5.89347695495419e-05,0.00014785389553657,8.27154660344448e-05,0.000113733765797362,0.000149921782187431,0.000194381345180945,9.61567292650421e-05,0.000120971369075376,0.000158193328790876,0.000150955725512862,0.000140616292258556,0.000170600648696042,9.09870126378893e-05,6.30705428512641e-05,0.000256417944706779,0.00022229781496757,0,0.000214026268364126,0.000192313458530084,0.000278130754540821,0.0001116658791465,0.000138548405607695,0.000138548405607695,0.000473546043047196,0.000132344745655112,0.000427018593402821,8.27154660344448e-05,8.16815227090142e-05,0.000190245571879223,0.000124073199051667,0.000175770365323195,8.27154660344448e-05,8.58172960107365e-05,0.000420814933450238,0.00016646487539432,0.000148887838862001,0.000200585005133529,0.000175770365323195,0.000122005312400806,0.000181974025275779,0.000218162041665848,0.000280198641191682,0.000155091498814584,0.000179906138624917,0.000127175029027959,0.000205754721760681,0.000173702478672334,0.000162329102092598,0.000198517118482667,0.00014785389553657,0.00016646487539432,0.000123039255726237,0.000161295158767167,0.000104428275868487,3.10182997629168e-05,7.7545749407292e-05,6.72063161529864e-05,0.000192313458530084,7.85796927327226e-05,0.00011063193582107,8.27154660344448e-05,2.79164697866251e-05,3.5154073064639e-05,2.79164697866251e-05,7.44439194310003e-05,0.000100292502566764,3.10182997629168e-05,4.96292796206669e-05,3.72219597155002e-05,5.1697166271528e-05,6.92742028038475e-05,5.79008262241113e-05,3.61880163900696e-05,7.85796927327226e-05,6.51384295021253e-05,4.2391676342653e-05,5.68668828986808e-05,0.000115801652448223,7.23760327801392e-05
"8","DistrictofColumbia",0.000129545664846859,9.53797752169178e-05,0.00014805218839641,0.000206418916514225,0.000136663558519763,0.000140934294723505,0.000162287975742218,0.000325999530219018,0.000118157034970212,0.000195030286637578,0.000167982290680542,0.000138087137254344,0.000113886298766469,0.000146628609661829,0.00019787744410674,0.000217807546390872,0.000179370920557189,0.000270479959570364,0.00018079449929177,0.000190759550433836,0.000243431963613328,0.000153746503334733,0.000220654703860034,0.000237737648675004,0.000243431963613328,0.000202148180310483,7.2602515463624e-05,0.000145205030927248,0.000159440818273057,0.000308916585404047,0.000476898876084589,0.00019787744410674,0.000311763742873209,0.000219231125125453,0.000216383967656291,0.00019787744410674,0.000274750695774107,0.000348776789972311,0.000288986483119915,0.000242008384878747,0.000166558711945961,0.000136663558519763,0.000140934294723505,0.000216383967656291,0.000192183129168416,0.000243431963613328,0.00011530987750105,0.000209266073983387,0.000233466912471262,0.000166558711945961,0.000337388160095664,0.000149475767130991,0.000103921247624403,0.000204995337779644,0.000163711554476799,0.000155170082069314,0.000102497668889822,0.000122427771173954,6.54846217907197e-05,0.000254820593489974,0.000119580613704792,7.97204091365283e-05,4.1283783302845e-05,0.000185065235495512,0.00014805218839641,0.000112462720031888,9.96505114206604e-05,8.96854602785944e-05,8.11439878711092e-05,0.000121004192439373,8.96854602785944e-05,7.40260941982049e-05,9.25326177477561e-05,7.82968304019475e-05,8.256756660569e-05,4.55545195065876e-05,2.70479959570364e-05,4.1283783302845e-05,7.97204091365283e-05,6.97553579944623e-05,4.55545195065876e-05
"9","Florida",4.82174904603784e-05,5.77952587699375e-05,5.91568042649239e-05,5.99549516240538e-05,3.77946249470347e-05,6.00488513133632e-05,5.24899263239563e-05,4.46493022666211e-05,5.3006374615158e-05,5.35697727510144e-05,4.77949418584861e-05,4.11750137621732e-05,5.42740204208349e-05,2.85924553947132e-05,4.25365592571596e-05,3.78415747916894e-05,6.63401304970932e-05,3.46959351998244e-05,3.85927723061646e-05,3.49306844230979e-05,3.80763240149629e-05,2.06579316480687e-05,6.28658419926453e-05,4.15506125194108e-05,1.43666524643387e-05,3.23484429670893e-05,2.86394052393679e-05,3.32404900155287e-05,1.62915960951814e-05,2.33810226380413e-05,4.86869889069255e-05,3.45081358212056e-05,2.88741544626414e-05,3.84519227722005e-05,2.54468158028482e-05,2.64327625405969e-05,3.87805716847834e-05,1.74183923668943e-05,3.76537754130706e-05,2.79351575695474e-05,1.81226400367148e-05,4.41798038200741e-05,2.2488975589602e-05,3.79354744809988e-05,4.3569455839563e-05,3.15972454526141e-05,3.64800292967031e-05,4.00951673351151e-05,2.35688220166602e-05,2.47425681330277e-05,5.65276129642606e-05,3.64330794520484e-05,3.17380949865782e-05,3.47428850444791e-05,4.12689134514826e-05,2.38974709292431e-05,1.77939911241319e-05,3.05643488702107e-05,5.69032117214982e-05,4.35225059949083e-05,3.46959351998244e-05,3.13155463846859e-05,2.89680541519508e-05,6.18329454102419e-05,6.66218295650214e-05,6.12695472743854e-05,5.96263027114709e-05,5.54008166925478e-05,4.53535499364416e-05,5.14570297415528e-05,6.43682370215958e-05,7.97208362236831e-05,8.92986045332423e-05,0.000121177549053785,9.46508868238782e-05,8.25378269029652e-05,0.000130661417674034,0.000122539094548771,0.000150568151807628,0.000179442306270269,0.000190099921006886
"10","Georgia",5.9983982090361e-05,6.62580594563892e-05,4.97173100368602e-05,3.95456997616326e-05,3.41271784000627e-05,7.75704110708947e-05,0.000151908721680502,9.96247436302667e-05,6.47370710040187e-05,9.25901720380532e-05,2.31950738986499e-05,0,9.71531373951647e-05,7.49086812792464e-05,6.3691391443014e-05,0.000100860546747818,9.63926431689794e-05,3.38419930652433e-05,5.75123758552589e-05,7.87111524101726e-05,7.05358394786812e-05,8.65062182285713e-05,7.66197932881631e-05,6.3691391443014e-05,6.17901558775509e-05,2.22444561159183e-05,7.31975692703295e-05,3.59333521872527e-05,6.58778123432966e-05,0.000107514871226939,9.5537087164521e-05,7.90913995232652e-05,3.32716223956043e-05,6.95852216959496e-05,5.00024953716797e-05,8.06123879756357e-05,7.60494226185242e-05,5.37099047243327e-05,3.72642170830769e-05,7.47185577227e-05,1.72061818674411e-05,8.2038314649733e-05,5.27592869416012e-05,5.28543487198743e-05,7.79506581839873e-05,3.92605144268131e-05,2.84234717036734e-05,6.46420092257456e-05,5.51358313984301e-05,9.01185658029512e-05,7.67148550664363e-05,7.27222603789638e-05,6.40716385561066e-05,5.52308931767032e-05,4.0401255766091e-05,6.19802794340972e-05,6.15049705427315e-05,6.17901558775509e-05,4.99074335934065e-05,4.25876766663736e-05,6.7969171465306e-05,6.71136154608476e-05,2.90889041515855e-05,6.16000323210046e-05,7.76654728491679e-05,7.14864572614128e-05,6.30259589951019e-05,4.06864411009105e-05,5.93185496424489e-05,7.35778163834222e-05,6.61629976781161e-05,8.24185617628256e-05,8.26086853193719e-05,9.28753573728727e-05,6.61629976781161e-05,5.9983982090361e-05,7.57642372837047e-05,8.69815271199371e-05,7.82358435188068e-05,0.000102381535200188,0.000147535879879937
